olive;90 mg;0 ug;3.31 mg;0.9 ug;0.22 mg;19 ug; 0 mg;0.032 mg;0 ug;0 ug
avocado;12 mg;0 ug;0.55 mg;0.4 ug;0.64 mg; 7 ug;0.13 mg;1.738 mg;0 ug;0 ug 
spring onion;72 mg;0 ug;1.48 mg;0.6 ug;0.39 mg;50 ug;0.08 mg;0.061 mg;0 ug;0 ug 
parsnip;36 mg;0 ug;0.59 mg;1.8 ug;0.59 mg;0 ug;0.05 mg;0.7 mg;0 ug;0 ug
aubergine;15 mg;0 ug;0.35 mg;0.2 ug;0.29 mg;10 ug;0.142 mg;0.487 mg;0 ug;0 ug
squash;15 mg;0 ug;0.35 mg;0.2 ug;0.29 mg;10 ug;0.142 mg;0.487 mg;0 ug;0 ug
eggplant;15 mg;0 ug;0.35 mg;0.2 ug;0.29 mg;10 ug;0.142 mg;0.487 mg;0 ug;0 ug
grapefruit;12 mg;0 ug;0.09 mg;0.3 ug;0.07 mg;46 ug;0.02 mg;0.25 mg;0 ug;0 ug
orange;40 mg;0 ug;0.1 mg;0.5 ug;0.07 mg;11 ug;0.04 mg;0.282 mg;0 ug;0 ug
lime;33 mg;0 ug;0.6 mg;0.4 ug;0.11 mg;2 ug;0.02 mg;0.2 mg; 0 ug ;0 ug
lemon;26 mg;0 ug;0.6 mg;0.4 ug;0.06 mg;1 ug ;0.02 mg;0.1 mg;0 ug;0 ug
peanuts;61 mg;0 ug;1.52 mg;3.3 ug;3.28 mg;0 ug;0.089 mg;13.825 mg;0 ug ;0 ug
walnuts;71 mg;0 ug;2.57 mg;5 ug;2.98 mg;1 ug ;0.298 mg;2.217 mg;0 ug;0 ug
honey;6 mg;0 ug;0.42 mg;0.8 ug;0.22 mg;0 ug;0.038 mg;0.121 mg;0 ug ;0 ug
honeymelon;6 mg;0 ug;0.17 mg;0.7 ug;0.09 mg;3 ug;0.012 mg;0.418 mg;0 ug;0 ug
watermelon;7 mg;0 ug;0.24 mg;0.4 ug;0.1 mg;28 ug;0.021 mg;0.178 mg;0 ug;0 ug
pecan;70 mg;0 ug;2.53 mg;3.8 ug;4.53 mg;3 ug;0.13 mg;1.167 mg;0 ug;0 ug
pistachio;107 mg;0 ug;4.03 mg;10 ug;2.34 mg;13 ug;0.234 mg;1.373 mg;0 ug;0 ug
basil;177 mg;0 ug;3.17 mg;0.3 ug;0.81 mg;264 ug;0.076 mg;0.902 mg;0 ug;0 ug
beets;16 mg;0 ug;0.8 mg;0.7  ug;0.35 mg;2 ug;0.04 mg;0.334 mg;0 ug;0 ug
seaweed;372 mg;0 ug;24.95 mg;7.3 ug;3.9  mg;68 ug;1.946 mg;6.511 mg;0.1 ug;0 ug
salmon;7 mg;0 ug;0.38 mg;31.4 mg;0.39 mg;35 ug;0.105 mg;7.995 mg ;4.15 ug;10.9 ug
wasabi;41 mg;0 ug;0.5 mg;2.2 ug;0.61 mg;0 ug;0.07 mg;0.16 mg;0 ug;0 ug
tuna;4 mg;0 ug;0.77 mg;90.6 ug;0.37 mg;18 ug;0.115 mg ;18.475 mg;2.08 ug;1.7 ug
horseraddish;56 mg;0 ug;0.42 mg;2.8 ug;0.83 mg;0 ug;0.024 mg;0.386 mg;0 ug;0 ug
pintobeans;43 mg;0 ug;1.97 mg;0.6 ug;0.5 mg;2  ug;0.175 mg;2.28 mg;0 ug;0 ug
