167512;1089;000002.120
167512;0000;000000.000
167512;0000;000000.000
167512;0000;000000.000
167512;0000;000000.000
167512;0000;000000.000
167512;0000;000000.000
167512;0000;000000.000
167512;0000;000000.000
167513;1089;000001.930
167513;1106;000000.000
167513;1087;000028.000
167513;0000;000000.000
167513;0000;000000.000
167513;0000;000000.000
167513;0000;000000.000
167513;0000;000000.000
167513;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167514;0000;000000.000
167515;1089;000001.400
167515;1106;000000.000
167515;1087;000180.000
167515;0000;000000.000
167515;0000;000000.000
167515;0000;000000.000
167515;0000;000000.000
167515;0000;000000.000
167515;0000;000000.000
167516;1106;000401.000
167516;1166;000000.665
167516;1178;000002.860
167516;1089;000006.040
167516;1087;000279.000
167516;1095;000000.480
167516;1103;000009.500
167516;1167;000006.675
167516;0000;000000.000
167517;1178;000001.620
167517;1106;000438.000
167517;1167;000007.942
167517;1087;000299.000
167517;1095;000000.480
167517;1103;000010.300
167517;1166;000000.648
167517;1089;000006.590
167517;0000;000000.000
167518;1089;000006.530
167518;1106;000429.000
167518;1166;000000.695
167518;1178;000002.440
167518;1087;000125.000
167518;1095;000000.580
167518;1103;000010.100
167518;1167;000006.730
167518;0000;000000.000
167519;1087;000197.000
167519;1095;000000.450
167519;1103;000012.800
167519;1167;000007.785
167519;1089;000005.810
167519;1166;000000.655
167519;1178;000002.180
167519;0000;000000.000
167519;0000;000000.000
167520;1106;000000.000
167520;1178;000000.000
167520;1167;000003.220
167520;1087;000029.000
167520;1095;000001.250
167520;1103;000002.600
167520;1166;000000.213
167520;1089;000002.600
167520;0000;000000.000
167521;1087;000032.000
167521;1095;000002.100
167521;1103;000002.500
167521;1167;000003.073
167521;1166;000000.265
167521;1178;000000.000
167521;1089;000004.300
167521;1106;000000.000
167521;0000;000000.000
167522;1089;000000.910
167522;1106;000018.000
167522;1166;000000.067
167522;1178;000000.000
167522;1087;000014.000
167522;1095;000000.190
167522;1103;000002.200
167522;1167;000001.094
167522;0000;000000.000
167523;1087;000020.000
167523;1095;000000.460
167523;1103;000004.500
167523;1167;000002.500
167523;1089;000002.260
167523;1166;000000.143
