Name;Prep Time;Cook Time;Olive oil;Garlic;Oregano;Basil;Thyme;Rosemary;Pepper;Tomato paste;Brown sugar;Crushed tomatoes;Vegetable broth;Cannellini beans;Nutritional yeast;Salt;Onion ;Dried dill;Dried parsley;Tahini ;Warm water;lemon juice
SECRET INGREDIENT TOMATO SOUP;5;25;2 Tbsp ;1 Clove ;0.5 Tsp dried;0.5 Tsp dried;0.25 Tsp dried ;0.25 Tsp dried;1 Pinch;85 g;1 Tbsp;794 g;473 ml;425 g ;1 Tbsp;0.25 tsp ;0.25 tsp powder;0;0;0;0;0
LEMON DILL TAHINI DRESSING;5;0;0;0.25 tsp powder;0;0;0;0;0.25;0;0;0;0;0;0;0.25 tsp;0;0.5 tsp ;1/2 tsp;0.25;0.25;3 Tbsp
