ingredients\nutrients pr 100 g;Calcium;Iron;Zinc;Selenium;Vitamin B2(riboflavin);Vitamin B3(niacin);Vitamin B12;Vitamin A;Vitamin D;Iodine
Aubergine;15 mg;0.35 mg;0.29 mg;0.2 ug;0.142 mg;0.487 mg;0 ug;10 ug;0 ug;0 ug
Squash;15 mg;0.35 mg;0.29 mg;0.2 ug;0.142 mg;0.487 mg;0 ug;10 ug;0 ug;0 ug
Eggplant;15 mg;0.35 mg;0.29 mg;0.2 ug;0.142 mg;0.487 mg;0 ug;10 ug;0 ug;0 ug
Grapefruit;12 mg;0.09 mg;0.07 mg;0.3 ug;0.02 mg;0.25 mg;0 ug;46 ug;0 ug;0 ug
Orange;40 mg;0.1 mg;0.07 mg;0.5 ug;0.04 mg;0.282 mg;0 ug;11 ug;0 ug;0 ug
Lime;33 mg;0.6 mg;0.11 mg;0.4 ug;0.02 mg;0.2 mg; 0 ug ;2 ug;0 ug;0 ug
Lemon;26 mg;0.6 mg;0.06 mg;0.4 ug;0.02 mg;0.1 mg;0 ug;1 ug ;0 ug;0 ug
Peanuts;61 mg;1.52 mg;3.28 mg;3.3 ug;0.089 mg;13.825 mg;0 ug ;0 ug;0 ug;0 ug
Walnut;71 mg;2.57 mg;2.98 mg;5 ug;0.298 mg;2.217 mg;0 ug;1 ug ;0 ug;0 ug
Honey;6 mg;0.42 mg;0.22 mg;0.8 ug;0.038 mg;0.121 mg;0 ug ;0 ug;0 ug;0 ug
Honeymelon;6 mg;0.17 mg;0.09 mg;0.7 ug;0.012 mg;0.418 mg;0 ug;3 ug;0 ug;0 ug
Watermelon;7 mg;0.24 mg;0.1 mg;0.4 ug;0.021 mg;0.178 mg;0 ug;28 ug;0 ug;0 ug
Pecan;70 mg;2.53 mg;4.53 mg;3.8 ug;0.13 mg;1.167 mg;0 ug;3 ug;0 ug;0 ug
Pistachio;107 mg;4.03 mg;2.34 mg;10 ug;0.234 mg;1.373 mg;0 ug;13 ug;0 ug;0 ug
Basil;177 mg;3.17 mg;0.81 mg;0.3 ug;0.076 mg;0.902 mg;0 ug;264 ug;0 ug;0 ug
